user_id,name,country,registration_date,age,email
1,User_1,USA,2023-11-02,67,user_1@email.com
2,User_2,Germany,2022-02-10,49,user_2@email.com
3,User_3,Spain,2022-07-23,55,user_3@email.com
4,User_4,Egypt,2022-12-14,64,user_4@email.com
5,User_5,Spain,2022-01-04,18,user_5@email.com
6,User_6,Tunisia,2023-07-07,60,user_6@email.com
7,User_7,Canada,2023-05-06,27,user_7@email.com
8,User_8,Tunisia,2023-10-03,24,user_8@email.com
9,User_9,UK,2022-05-15,51,user_9@email.com
10,User_10,UK,2022-07-26,58,user_10@email.com
11,User_11,USA,2022-10-01,21,user_11@email.com
12,User_12,Tunisia,2023-08-25,42,user_12@email.com
13,User_13,Italy,2023-04-03,32,user_13@email.com
14,User_14,Italy,2022-11-06,23,user_14@email.com
15,User_15,France,2023-10-02,55,user_15@email.com
16,User_16,USA,2023-12-17,19,user_16@email.com
17,User_17,UK,2023-05-29,49,user_17@email.com
18,User_18,Italy,2023-12-22,23,user_18@email.com
19,User_19,Italy,2023-07-21,70,user_19@email.com
20,User_20,Italy,2023-10-23,25,user_20@email.com
21,User_21,Spain,2023-05-25,61,user_21@email.com
22,User_22,Tunisia,2023-04-19,28,user_22@email.com
23,User_23,Germany,2023-09-27,50,user_23@email.com
24,User_24,France,2022-09-05,26,user_24@email.com
25,User_25,Morocco,2022-08-16,46,user_25@email.com
26,User_26,France,2022-04-11,31,user_26@email.com
27,User_27,Canada,2023-10-02,50,user_27@email.com
28,User_28,France,2023-10-26,66,user_28@email.com
29,User_29,UK,2023-02-26,48,user_29@email.com
30,User_30,Italy,2023-01-01,61,user_30@email.com
31,User_31,France,2022-11-02,38,user_31@email.com
32,User_32,Spain,2023-05-05,38,user_32@email.com
33,User_33,UK,2023-03-14,37,user_33@email.com
34,User_34,Morocco,2023-05-25,35,user_34@email.com
35,User_35,Germany,2022-07-20,24,user_35@email.com
36,User_36,USA,2022-04-11,48,user_36@email.com
37,User_37,France,2022-10-26,60,user_37@email.com
38,User_38,Germany,2023-06-15,64,user_38@email.com
39,User_39,USA,2023-09-03,23,user_39@email.com
40,User_40,Italy,2022-11-17,61,user_40@email.com
41,User_41,Germany,2022-12-02,55,user_41@email.com
42,User_42,USA,2022-06-25,18,user_42@email.com
43,User_43,UK,2022-07-31,40,user_43@email.com
44,User_44,France,2023-10-31,60,user_44@email.com
45,User_45,Canada,2022-01-19,62,user_45@email.com
46,User_46,Germany,2023-06-02,52,user_46@email.com
47,User_47,UK,2023-08-05,48,user_47@email.com
48,User_48,Germany,2022-05-11,60,user_48@email.com
49,User_49,Germany,2023-08-15,66,user_49@email.com
50,User_50,UK,2023-12-10,31,user_50@email.com
51,User_51,Germany,2023-12-29,70,user_51@email.com
52,User_52,Italy,2022-12-08,48,user_52@email.com
53,User_53,Morocco,2023-11-13,39,user_53@email.com
54,User_54,UK,2023-03-25,40,user_54@email.com
55,User_55,Canada,2022-04-17,22,user_55@email.com
56,User_56,Morocco,2023-07-13,31,user_56@email.com
57,User_57,Tunisia,2022-09-07,70,user_57@email.com
58,User_58,Morocco,2023-06-09,62,user_58@email.com
59,User_59,UK,2022-08-07,18,user_59@email.com
60,User_60,Germany,2023-09-24,58,user_60@email.com
61,User_61,Morocco,2023-06-07,68,user_61@email.com
62,User_62,Canada,2022-07-29,48,user_62@email.com
63,User_63,USA,2023-07-11,60,user_63@email.com
64,User_64,USA,2023-08-25,25,user_64@email.com
65,User_65,France,2022-08-01,58,user_65@email.com
66,User_66,Italy,2023-04-09,22,user_66@email.com
67,User_67,Italy,2022-06-07,28,user_67@email.com
68,User_68,Morocco,2023-12-28,44,user_68@email.com
69,User_69,UK,2022-10-23,61,user_69@email.com
70,User_70,USA,2023-06-22,58,user_70@email.com
71,User_71,Tunisia,2023-01-19,42,user_71@email.com
72,User_72,Germany,2023-11-30,45,user_72@email.com
73,User_73,Tunisia,2022-07-01,34,user_73@email.com
74,User_74,Morocco,2023-09-01,27,user_74@email.com
75,User_75,USA,2022-06-29,42,user_75@email.com
76,User_76,Canada,2022-04-03,30,user_76@email.com
77,User_77,Tunisia,2023-05-27,54,user_77@email.com
78,User_78,France,2022-07-07,67,user_78@email.com
79,User_79,Morocco,2023-07-21,58,user_79@email.com
80,User_80,Morocco,2022-03-09,26,user_80@email.com
81,User_81,Italy,2023-03-17,58,user_81@email.com
82,User_82,USA,2023-10-02,41,user_82@email.com
83,User_83,Tunisia,2023-11-02,44,user_83@email.com
84,User_84,Canada,2023-12-24,55,user_84@email.com
85,User_85,Spain,2022-04-23,64,user_85@email.com
86,User_86,Tunisia,2023-06-04,47,user_86@email.com
87,User_87,Italy,2023-05-06,22,user_87@email.com
88,User_88,France,2022-10-19,53,user_88@email.com
89,User_89,Tunisia,2023-06-15,44,user_89@email.com
90,User_90,Egypt,2023-04-30,49,user_90@email.com
91,User_91,Egypt,2023-03-17,64,user_91@email.com
92,User_92,Canada,2022-02-20,51,user_92@email.com
93,User_93,UK,2022-12-05,25,user_93@email.com
94,User_94,Egypt,2023-12-12,49,user_94@email.com
95,User_95,Italy,2022-10-26,44,user_95@email.com
96,User_96,USA,2023-06-07,21,user_96@email.com
97,User_97,UK,2023-10-23,50,user_97@email.com
98,User_98,UK,2022-11-13,65,user_98@email.com
99,User_99,Germany,2022-07-17,55,user_99@email.com
100,User_100,USA,2022-04-06,24,user_100@email.com
101,User_101,Canada,2023-12-31,64,user_101@email.com
102,User_102,Tunisia,2022-05-17,44,user_102@email.com
103,User_103,Tunisia,2022-09-06,48,user_103@email.com
104,User_104,Morocco,2022-07-17,64,user_104@email.com
105,User_105,Morocco,2022-04-22,20,user_105@email.com
106,User_106,Morocco,2023-08-30,54,user_106@email.com
107,User_107,Morocco,2023-12-08,18,user_107@email.com
108,User_108,Spain,2023-05-09,67,user_108@email.com
109,User_109,Spain,2022-06-04,65,user_109@email.com
110,User_110,Morocco,2023-02-08,54,user_110@email.com
111,User_111,France,2022-05-11,57,user_111@email.com
112,User_112,Canada,2022-04-13,51,user_112@email.com
113,User_113,Spain,2022-05-09,36,user_113@email.com
114,User_114,France,2023-02-28,31,user_114@email.com
115,User_115,USA,2022-04-13,65,user_115@email.com
116,User_116,Egypt,2023-11-10,46,user_116@email.com
117,User_117,Tunisia,2023-06-02,52,user_117@email.com
118,User_118,Canada,2023-08-04,61,user_118@email.com
119,User_119,Tunisia,2023-07-05,48,user_119@email.com
120,User_120,Tunisia,2022-10-24,50,user_120@email.com
121,User_121,USA,2023-03-31,33,user_121@email.com
122,User_122,Germany,2022-01-01,50,user_122@email.com
123,User_123,UK,2023-11-03,65,user_123@email.com
124,User_124,Egypt,2022-11-28,39,user_124@email.com
125,User_125,Spain,2022-06-30,46,user_125@email.com
126,User_126,Germany,2023-09-22,27,user_126@email.com
127,User_127,USA,2022-12-28,66,user_127@email.com
128,User_128,Morocco,2022-02-28,59,user_128@email.com
129,User_129,USA,2022-02-21,56,user_129@email.com
130,User_130,France,2022-09-01,69,user_130@email.com
131,User_131,Egypt,2022-06-03,30,user_131@email.com
132,User_132,USA,2022-05-07,46,user_132@email.com
133,User_133,France,2023-02-26,57,user_133@email.com
134,User_134,USA,2023-05-17,53,user_134@email.com
135,User_135,UK,2022-07-13,64,user_135@email.com
136,User_136,Egypt,2022-09-14,30,user_136@email.com
137,User_137,France,2022-06-26,47,user_137@email.com
138,User_138,Egypt,2022-06-26,57,user_138@email.com
139,User_139,Italy,2023-09-05,52,user_139@email.com
140,User_140,Tunisia,2023-02-19,59,user_140@email.com
141,User_141,USA,2022-05-20,20,user_141@email.com
142,User_142,Spain,2023-02-12,37,user_142@email.com
143,User_143,Spain,2023-12-03,55,user_143@email.com
144,User_144,Spain,2022-07-20,34,user_144@email.com
145,User_145,Spain,2022-03-04,65,user_145@email.com
146,User_146,Egypt,2022-03-04,33,user_146@email.com
147,User_147,Germany,2023-04-04,48,user_147@email.com
148,User_148,Egypt,2022-04-19,26,user_148@email.com
149,User_149,Italy,2023-08-30,27,user_149@email.com
150,User_150,Spain,2023-04-07,33,user_150@email.com
151,User_151,UK,2022-09-18,28,user_151@email.com
152,User_152,France,2022-11-20,52,user_152@email.com
153,User_153,USA,2023-11-18,53,user_153@email.com
154,User_154,Germany,2022-07-22,54,user_154@email.com
155,User_155,Canada,2023-09-05,30,user_155@email.com
156,User_156,Egypt,2023-05-24,59,user_156@email.com
157,User_157,USA,2022-07-22,35,user_157@email.com
158,User_158,Canada,2023-09-27,21,user_158@email.com
159,User_159,Morocco,2022-06-26,58,user_159@email.com
160,User_160,Morocco,2022-01-10,61,user_160@email.com
161,User_161,Italy,2023-07-02,35,user_161@email.com
162,User_162,Egypt,2023-01-22,50,user_162@email.com
163,User_163,Egypt,2022-11-09,42,user_163@email.com
164,User_164,Germany,2023-03-20,58,user_164@email.com
165,User_165,Canada,2023-01-16,67,user_165@email.com
166,User_166,Germany,2022-05-06,68,user_166@email.com
167,User_167,Italy,2023-02-03,51,user_167@email.com
168,User_168,USA,2023-09-08,39,user_168@email.com
169,User_169,Spain,2022-11-13,21,user_169@email.com
170,User_170,Tunisia,2023-02-19,58,user_170@email.com
171,User_171,UK,2023-10-18,30,user_171@email.com
172,User_172,Germany,2022-05-07,32,user_172@email.com
173,User_173,Morocco,2022-05-16,38,user_173@email.com
174,User_174,USA,2023-04-27,67,user_174@email.com
175,User_175,Canada,2022-02-08,48,user_175@email.com
176,User_176,France,2023-03-22,23,user_176@email.com
177,User_177,USA,2022-02-28,22,user_177@email.com
178,User_178,USA,2022-01-16,69,user_178@email.com
179,User_179,France,2023-04-10,43,user_179@email.com
180,User_180,Morocco,2022-01-18,24,user_180@email.com
181,User_181,Tunisia,2022-10-08,51,user_181@email.com
182,User_182,Canada,2023-06-18,29,user_182@email.com
183,User_183,Morocco,2023-10-23,23,user_183@email.com
184,User_184,UK,2022-05-29,38,user_184@email.com
185,User_185,Spain,2022-11-10,69,user_185@email.com
186,User_186,USA,2022-12-28,53,user_186@email.com
187,User_187,France,2023-07-02,18,user_187@email.com
188,User_188,France,2023-11-26,29,user_188@email.com
189,User_189,Canada,2023-07-18,38,user_189@email.com
190,User_190,Canada,2023-09-03,33,user_190@email.com
191,User_191,Spain,2023-07-05,28,user_191@email.com
192,User_192,Italy,2023-03-25,56,user_192@email.com
193,User_193,USA,2022-03-24,36,user_193@email.com
194,User_194,USA,2022-02-11,25,user_194@email.com
195,User_195,Germany,2023-11-24,18,user_195@email.com
196,User_196,Italy,2023-12-25,50,user_196@email.com
197,User_197,France,2022-08-23,20,user_197@email.com
198,User_198,Canada,2023-12-18,22,user_198@email.com
199,User_199,Germany,2022-05-28,39,user_199@email.com
200,User_200,USA,2023-05-16,54,user_200@email.com
201,User_201,Spain,2023-06-18,45,user_201@email.com
202,User_202,USA,2023-09-28,55,user_202@email.com
203,User_203,Spain,2022-07-27,20,user_203@email.com
204,User_204,Tunisia,2023-12-02,60,user_204@email.com
205,User_205,USA,2022-09-27,36,user_205@email.com
206,User_206,Tunisia,2022-05-06,40,user_206@email.com
207,User_207,Canada,2022-12-21,36,user_207@email.com
208,User_208,Morocco,2022-07-23,58,user_208@email.com
209,User_209,USA,2022-10-26,34,user_209@email.com
210,User_210,UK,2023-10-28,21,user_210@email.com
211,User_211,Egypt,2022-01-25,61,user_211@email.com
212,User_212,Canada,2023-04-29,22,user_212@email.com
213,User_213,USA,2023-06-11,24,user_213@email.com
214,User_214,Tunisia,2023-11-17,49,user_214@email.com
215,User_215,Canada,2022-09-17,32,user_215@email.com
216,User_216,UK,2022-05-28,44,user_216@email.com
217,User_217,UK,2022-04-11,42,user_217@email.com
218,User_218,Italy,2023-02-28,51,user_218@email.com
219,User_219,Egypt,2023-06-24,42,user_219@email.com
220,User_220,France,2022-03-14,50,user_220@email.com
221,User_221,Egypt,2023-12-18,44,user_221@email.com
222,User_222,Egypt,2022-08-04,24,user_222@email.com
223,User_223,France,2023-12-03,55,user_223@email.com
224,User_224,Canada,2022-02-13,59,user_224@email.com
225,User_225,Morocco,2023-12-03,66,user_225@email.com
226,User_226,Italy,2022-01-09,47,user_226@email.com
227,User_227,Canada,2023-11-19,68,user_227@email.com
228,User_228,Egypt,2023-09-30,60,user_228@email.com
229,User_229,France,2023-12-25,49,user_229@email.com
230,User_230,Germany,2022-10-11,26,user_230@email.com
231,User_231,Tunisia,2022-10-13,69,user_231@email.com
232,User_232,Egypt,2022-02-10,44,user_232@email.com
